0,-0.5,-0.005,-5e-05,-0.49364,-0.0049364,-4.9364e-05,-0.44503,-0.0044503,-4.4503e-05
0.01,-0.49841,-0.0099841,-0.00014984,-0.48561,-0.0097924,-0.00014729,-0.51658,-0.0096161,-0.00014066
0.02,-0.49682,-0.014952,-0.00029936,-0.46311,-0.014424,-0.00029152,-0.49621,-0.014578,-0.00028645
0.03,-0.49523,-0.019905,-0.00049841,-0.47073,-0.019131,-0.00048283,-0.4781,-0.019359,-0.00048004
0.04,-0.49363,-0.024841,-0.00074682,-0.45027,-0.023633,-0.00071917,-0.48635,-0.024223,-0.00072227
0.05,-0.49204,-0.029761,-0.0010444,-0.5124,-0.028757,-0.0010067,-0.46328,-0.028855,-0.0010108
0.06,-0.49045,-0.034666,-0.0013911,-0.504,-0.033797,-0.0013447,-0.46163,-0.033472,-0.0013455
0.07,-0.48886,-0.039554,-0.0017866,-0.51688,-0.038966,-0.0017344,-0.47546,-0.038226,-0.0017278
0.08,-0.48727,-0.044427,-0.0022309,-0.48085,-0.043775,-0.0021721,-0.49654,-0.043192,-0.0021597
0.09,-0.48568,-0.049284,-0.0027237,-0.46587,-0.048433,-0.0026565,-0.40474,-0.047239,-0.0026321
0.1,-0.48408,-0.054125,-0.003265,-0.49479,-0.053381,-0.0031903,-0.50556,-0.052295,-0.0031551
0.11,-0.48249,-0.05895,-0.0038545,-0.49529,-0.058334,-0.0037736,-0.47627,-0.057057,-0.0037256
0.12,-0.4809,-0.063759,-0.0044921,-0.48482,-0.063182,-0.0044054,-0.45303,-0.061588,-0.0043415
0.13,-0.47931,-0.068552,-0.0051776,-0.46725,-0.067855,-0.005084,-0.48878,-0.066476,-0.0050063
0.14,-0.47772,-0.073329,-0.0059109,-0.51887,-0.073044,-0.0058144,-0.42624,-0.070738,-0.0057136
0.15,-0.47613,-0.07809,-0.0066918,-0.45638,-0.077607,-0.0065905,-0.54261,-0.076164,-0.0064753
0.16,-0.47454,-0.082835,-0.0075201,-0.47196,-0.082327,-0.0074138,-0.52868,-0.081451,-0.0072898
0.17,-0.47294,-0.087565,-0.0083958,-0.48695,-0.087196,-0.0082857,-0.38419,-0.085293,-0.0081427
0.18,-0.47135,-0.092278,-0.0093186,-0.46397,-0.091836,-0.0092041,-0.49029,-0.090196,-0.0090447
0.19,-0.46976,-0.096976,-0.010288,-0.46369,-0.096473,-0.010169,-0.47831,-0.094979,-0.0099945
0.2,-0.46817,-0.10166,-0.011305,-0.44579,-0.10093,-0.011178,-0.42472,-0.099226,-0.010987
0.21,-0.46658,-0.10632,-0.012368,-0.44591,-0.10539,-0.012232,-0.4539,-0.10376,-0.012024
0.22,-0.46499,-0.11097,-0.013478,-0.46947,-0.11008,-0.013333,-0.47261,-0.10849,-0.013109
0.23,-0.46339,-0.11561,-0.014634,-0.45273,-0.11461,-0.014479,-0.51362,-0.11363,-0.014246
0.24,-0.4618,-0.12023,-0.015836,-0.48316,-0.11944,-0.015673,-0.40449,-0.11767,-0.015422
0.25,-0.46021,-0.12483,-0.017084,-0.45534,-0.124,-0.016913,-0.42583,-0.12193,-0.016642
0.26,-0.45862,-0.12941,-0.018379,-0.45428,-0.12854,-0.018199,-0.47327,-0.12666,-0.017908
0.27,-0.45703,-0.13398,-0.019718,-0.46409,-0.13318,-0.019531,-0.4548,-0.13121,-0.01922
0.28,-0.45544,-0.13854,-0.021104,-0.47722,-0.13795,-0.02091,-0.45207,-0.13573,-0.020578
